EPOCA	LOSS_TREINO	LOSS_VAL	ACUR_TREINO	ACUR_VAL
1	7.622193	7.616787	0.000421	0.000582
2	7.564430	7.221257	0.001013	0.006330
3	6.911156	6.407486	0.014671	0.041836
4	6.286470	5.903992	0.048845	0.090876
5	5.767952	5.281203	0.101899	0.168146
6	5.266416	4.763226	0.164261	0.247963
7	4.822636	4.361867	0.233061	0.322977
8	4.401276	3.949097	0.303015	0.386860
9	4.044176	3.655046	0.363397	0.445795
10	3.749301	3.470979	0.417231	0.476935
11	3.498514	3.199484	0.463425	0.529540
12	3.304684	3.032736	0.498410	0.556607
13	3.146618	2.940843	0.528920	0.576906
14	3.029187	2.920298	0.553491	0.583018
15	2.949428	2.813199	0.569658	0.602736
16	2.870445	2.770460	0.585155	0.610666
17	2.804742	2.716789	0.599108	0.620489
18	2.760663	2.746171	0.606716	0.618306
19	2.755483	2.641548	0.611503	0.631912
20	2.714689	2.673185	0.616351	0.626746
