EPOCA	LOSS_TREINO	LOSS_VAL	ACUR_TREINO	ACUR_VAL
1	7.454660	6.843458	0.001941	0.007203
2	6.430992	5.781195	0.020416	0.060788
3	5.509707	4.795650	0.075560	0.143075
4	4.663759	3.899676	0.161456	0.271636
5	3.837531	3.081849	0.269825	0.392557
6	3.090373	2.409206	0.384883	0.513806
7	2.462345	1.837289	0.490611	0.617483
8	1.942278	1.388829	0.586586	0.710903
9	1.490965	1.014898	0.671547	0.776274
10	1.155076	0.800249	0.737962	0.819491
11	0.894497	0.625877	0.789785	0.854960
12	0.676762	0.440244	0.837586	0.900033
13	0.529147	0.379140	0.868221	0.908545
14	0.435329	0.317594	0.888380	0.917603
15	0.360140	0.246081	0.904913	0.931463
16	0.303638	0.219479	0.914735	0.938339
17	0.261502	0.191645	0.928206	0.947397
18	0.235202	0.183164	0.934333	0.947070
19	0.219552	0.149760	0.936788	0.955582
20	0.192198	0.177131	0.944295	0.947943
