EPOCA	LOSS_TREINO	LOSS_VAL	ACUR_TREINO	ACUR_VAL
1	6.234807	6.159019	0.002431	0.003928
2	5.932516	5.423628	0.009164	0.028372
3	5.129118	4.524877	0.047877	0.102575
4	4.413854	3.911397	0.116233	0.182453
5	3.787257	3.168707	0.196652	0.310345
6	3.200594	2.614920	0.285020	0.405936
7	2.654050	2.131751	0.387507	0.507202
8	2.134146	1.705683	0.483636	0.586643
9	1.746297	1.433210	0.570413	0.650807
10	1.402323	1.052073	0.644941	0.742471
11	1.100124	0.800426	0.716290	0.812309
12	0.835319	0.587353	0.776791	0.854212
13	0.686440	0.485915	0.813914	0.879529
14	0.544040	0.425308	0.852534	0.888695
15	0.423618	0.321245	0.882925	0.912265
16	0.352950	0.266935	0.902095	0.932344
17	0.311909	0.266093	0.911913	0.927543
18	0.270550	0.213850	0.921919	0.941947
19	0.231497	0.195829	0.934356	0.948058
20	0.209625	0.187166	0.939405	0.941947
